id,clue,answer
0,Carol's about to tolerate bad language,swearing
1,Explorer or actor Sebastian,cabot
2,TV talk pioneer,paar
3,"Utter failure, figuratively",lead balloon
4,Ages and ages,e on
5,"Denmark, a hyperactive place with a platform for free speech",Hyde Park
6,Clean-up target,mess
7,Archaic negative.,nill
8,People slaloming,skiers
9,Man who runs a wine-shop,Bodeguero
10,Late resident of Doorn.,Kaiser
11,"What's up, in Portuguese",eai
12,- Ark,no ahs
13,"Done, in poetry",oer
14,"Bill Moyers speech on income inequality in America, with ""The""",fightofourlives
15,Started a film scene gradually,faded in
16,Bitter salad veggie,endive
17,Unpopular insulation,asbestos
18,Pearl container (wordplay),oyster
19,Raft user,poler
20,Brian ___. ,Boru
21,Back to the Future destination,past
22,Rioting blamed for uproar,Bedlam
23,Great ___.,Scott
24,Plaintiff,accuser
25,More than simmering,aboil
26,House-warming method,gas heat
27,___ finger (pointer),index
28,Minn. neighbor ,sdak
29,West of Broadway. ,mae
30,Thick-coated spitz type of dog originally from China,chow
31,Unaspirated wood tillers,elms
32,___ Sea (Italy/Greece separator),ionian
33,Ham or beef,meat
34,Ukraine river,donets
35,Subatomic bit,electron
36,In a mournful manner,sadly
37,Prod. ,urge
38,Conductor's beginning (wordplay),semi
39,Give a joint prize (wordplay),reward pot
40,Downloadable patch,bug fix
41,"Foolery, sir, does walk about the ___ like the sun (Shakespeare)",or b
42,Car with old sound,audio
43,Will he at last bury his type of work (wordplay),printer
44,Cash,lolly
45,___ Paese (cheese choice),bel
46,Counting-out words for George ,eenymeanymineymo
47,Take flight.,wing
48,"Potato sack race, essentially (wordplay)",hop against hop
49,"Cell fragment in the blood, important for clotting",platelet
50,"Cultural matters, with ""the""",arts
51,Shape of some docks,ell
52,G.O.P. name.,Nixon
53,Piece,gun
54,"Cape, in place names. ",ness
55,Many an article by Ronnie on fruit,citron
56,Reportedly flog prisoner probably in here,cell
57,Scantlings. ,studs
58,Priscilla Mullens John,Alden
59,Important people,lions
60,Pool game with 21 balls,snooker
61,Quickly Slang. ,PDO
62,Huge format,imax
63,It comes in a small box,ring
64,Set in a groove,dado
65,Boy present for a musical performance,sonata
66,This bus might get one down before this,ere
67,Medical drama locales abbreviation,ers
68,Sixth-century date. ,DXI
69,Google or Dropbox offering,free storage
70,Cauterizes ,sears
71,Like the smell of burning rubber,a crid
72,Sound made after breaking out (wordplay),Peep
73,Amass,rake in
74,Fish that yields caviare,sturgeon
75,Cheers Span. ,oles
76,___ in Calico: Crosby song,a gal
77,Blazingly bright,aglare
78,Walter Reed rms.,or s
79,Steel Ger,stahl
80,Ex-N.J. Governor,kean
81,Maintain once more the RAs among the trees,reassert
82,Enthusiastic about,in to
83,Inspector's employer abbreviation,usda
84,"With a bow, on a score",arco
85,Lost no time,raced
86,Mean persons,caitiffs
87,Pizza party leftovers,crusts
